2020-04-17 15:12:40.537| main | INFO |  -  | tableName:tc_p_basic_role,columnName:role_code,dataType:12,dataTypeName:VARCHAR,columnSize:30,decimalDigits:0,isNullAble:YES,remarks:角色编码,columnDef:null,charOctetLength:30,ordinalPosition:2 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.537| main | INFO |  -  | tableName:tc_p_basic_role,columnName:role_name,dataType:12,dataTypeName:VARCHAR,columnSize:50,decimalDigits:0,isNullAble:YES,remarks:角色名称,columnDef:null,charOctetLength:50,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.541| main | INFO |  -  | PK-tableName:tc_p_basic_role_privilege,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.547| main | INFO |  -  | tableName:tc_p_basic_role_privilege,columnName:privilege_id,dataType:-5,dataTypeName:BIGINT,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:权限id,columnDef:null,charOctetLength:0,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.549| main | INFO |  -  | PK-tableName:tc_p_basic_user,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
2020-04-17 15:12:40.554| main | INFO |  -  | tableName:tc_p_basic_user,columnName:login_name,dataType:12,dataTypeName:VARCHAR,columnSize:50,decimalDigits:0,isNullAble:YES,remarks:用户名,columnDef:null,charOctetLength:50,ordinalPosition:2 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.555| main | INFO |  -  | tableName:tc_p_basic_user,columnName:name,dataType:12,dataTypeName:VARCHAR,columnSize:50,decimalDigits:0,isNullAble:YES,remarks:姓名,columnDef:null,charOctetLength:50,ordinalPosition:3 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.555| main | INFO |  -  | tableName:tc_p_basic_user,columnName:password,dataType:12,dataTypeName:VARCHAR,columnSize:30,decimalDigits:0,isNullAble:YES,remarks:密码,columnDef:null,charOctetLength:30,ordinalPosition:4 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.555| main | INFO |  -  | tableName:tc_p_basic_user,columnName:enable,dataType:-6,dataTypeName:TINYINT,columnSize:3,decimalDigits:0,isNullAble:YES,remarks:是否启用，0：停用，1：启用,columnDef:1,charOctetLength:0,ordinalPosition:5 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.556| main | INFO |  -  | tableName:tc_p_basic_user,columnName:update_time,dataType:93,dataTypeName:DATETIME,columnSize:19,decimalDigits:0,isNullAble:YES,remarks:修改时间,columnDef:null,charOctetLength:0,ordinalPosition:8 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.557| main | INFO |  -  | tableName:tc_p_basic_user,columnName:ext1,dataType:12,dataTypeName:VARCHAR,columnSize:500,decimalDigits:0,isNullAble:YES,remarks:备用1,columnDef:null,charOctetLength:500,ordinalPosition:9 | [com.generator.code.jdbc.JdbcConnect$1:139]
2020-04-17 15:12:40.559| main | INFO |  -  | PK-tableName:tc_p_basic_user_course,columnName:id,pkName:PRIMARY | [com.generator.code.jdbc.JdbcConnect$1:94]
